,Rec - Storage of bare modules,Rec - Storage of flexes,Rec - PDB checks of bare modules,Rec - PDB checks of flexes,Rec - Metrology and Visual inspection of bare modules,Rec - Metrology and Visual inspection of flexes,Rec - Metrology weights of bare modules,Rec - Metrology weights of flexes,Rec - Sensor IV of bare modules,FA - Glue flex to bare module,FA - visual inspection of module,FA - Metrology weights of module,WB - Prepare wire-bonding requests,WB - Wire-bonding,WB - PDB Upload of wire-bonding pull-test results,I - Warm Electrical Testing,I - Cold Electrical Testing,P - Masking,P - Mask Curing,P - visual inspection after masking,P - Shipping,P - Transit,P - visual inspection after transit,P - Demasking,P - visual inspection after unmasking,P - Post Parylene Warm,P - Post Parylene cold chiller cooldown,P - Post Parylene Cold,P - Post Parylene X-ray,"WBP - Preparation, glue mixing, canopy attachment",WBP - Visual Inspection,WBP - Mass Measurement,WBP - Resistance Measurement,WBP - PDB Upload of visual inspection mass and resistance,WBP - MHT-PFA,TC - Cycle,TC - PDB Upload of thermal cycling data,TC - Back side metrology,TC - PDB Upload of back side metrology,LTS - MHT-PFA,F - Warm,F - Cold,F - X-ray,S - Packaging,S - PDB Shipment of modules to loading sites
2024-11-01 09:00:00,,,,"('Operator5', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 09:10:00,,,,,,"('Operator5', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 09:30:00,,,,,,,,"('Operator10', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 09:32:00,,,,"('Operator9', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 09:42:00,,,,,,"('Operator3', 'Operator9')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 10:02:00,,,,"('Operator1', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 10:12:00,,,,"('Operator1', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 10:22:00,,,,"('Operator9', 'Operator5')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 10:32:00,,,,"('Operator6', 'Operator7')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 10:42:00,,,,"('Operator1', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 10:52:00,,,,"('Operator9', 'Operator8')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 11:02:00,,,,"('Operator9', 'Operator6')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 11:12:00,,,,"('Operator5', 'Operator10')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01 11:22:00,,,,"('Operator5', 'Operator3')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
